episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
92,default,38,1,2,2,0,149.1987,-8.0183,0.0004,0.3947,-0.0657,0.1118,0.0000,0.0000,0.0217,0.0000,0.0000,0.7430,1.362354,-4.910699,1.5000,4.3421,4.3421,0.0000,0.0000
93,default,250,0,0,0,0,-156.6607,-611.2715,-0.0002,0.0000,-0.0179,0.0178,0.0000,0.0000,0.0040,0.0000,0.0000,0.2780,2.090808,-5.116285,2.0000,3.0000,3.0000,0.0000,0.0000
94,default,250,0,-1,0,1,-196.3716,-287.3901,-0.0005,0.0000,-0.0254,0.0386,0.0000,0.0000,0.0580,0.0000,0.0000,0.3932,2.126402,-4.730907,1.3600,4.9080,4.9080,0.0000,0.0000
95,default,250,0,0,0,0,-119.9022,-609.9167,-0.0001,0.0000,-0.0239,0.0185,0.0000,0.0000,0.0076,0.0000,0.0000,0.3898,1.878113,-4.298273,2.0000,3.0000,3.0000,0.0000,0.0000
96,default,87,0,-1,1,1,-55.1184,7.8144,-0.0014,0.0575,-0.0859,0.1019,0.0000,0.0000,0.0057,0.0000,0.0000,0.6712,1.939842,-4.107405,1.3563,4.8621,4.8621,0.0000,0.0000
97,default,250,0,1,1,0,-75.3721,-303.3793,-0.0002,0.0200,-0.0120,0.0162,0.0000,0.0000,0.0073,0.0000,0.0000,0.2041,1.557749,-3.974012,1.0840,5.7360,5.7360,0.0000,0.0000
98,default,250,0,1,1,0,-75.2594,-302.6760,-0.0003,0.0200,-0.0074,0.0146,0.0000,0.0000,0.0018,0.0000,0.0000,0.2591,1.525094,-3.897568,1.0840,5.7360,5.7360,0.0000,0.0000
99,default,250,0,1,1,0,-83.5671,-315.8997,-0.0001,0.0200,-0.0227,0.0197,0.0000,0.0000,0.1510,0.0000,0.0000,0.3432,1.584167,-3.789164,1.1480,5.5440,5.5440,0.0000,0.0000
100,default,250,0,0,0,0,-180.7571,-417.6594,-0.0006,0.0000,0.0379,0.0391,0.0000,0.0000,0.0109,0.0000,0.0000,0.4946,1.189190,-3.445185,2.0000,3.0000,3.0000,0.0000,0.0000
101,default,250,0,-1,0,1,-180.3237,-291.0616,-0.0001,0.0000,-0.0298,0.0380,0.0000,0.0000,0.0008,0.0000,0.0000,0.4896,1.050520,-3.129040,1.3560,4.9200,4.9200,0.0000,0.0000
102,default,250,0,0,0,0,-130.4958,-602.7011,-0.0002,0.0000,-0.0014,0.0205,0.0000,0.0000,0.1565,0.0000,0.0000,0.3771,0.982807,-3.214335,2.0000,3.0000,3.0000,0.0000,0.0000
103,default,250,0,-1,0,1,-188.0418,-281.8837,-0.0000,0.0000,-0.0182,0.0388,0.0000,0.0000,0.1456,0.0000,0.0000,0.3276,1.066530,-3.124582,1.3400,4.9680,4.9680,0.0000,0.0000
104,default,250,0,0,0,0,-141.1771,-402.7856,-0.0003,0.0000,0.0360,0.0442,0.0000,0.0000,0.0032,0.0000,0.0000,0.5096,0.995193,-2.830116,2.0000,3.0000,3.0000,0.0000,0.0000
105,default,250,0,0,0,0,-132.2534,-601.5821,0.0000,0.0000,-0.0022,0.0201,0.0000,0.0000,0.1532,0.0000,0.0000,0.4693,0.897362,-2.467796,2.0000,3.0000,3.0000,0.0000,0.0000
106,default,250,0,-1,0,1,-356.9228,-95.9469,-0.0007,0.0000,0.0219,0.0554,0.0000,0.0000,0.3634,0.0000,0.0000,0.7107,0.841570,-2.007151,1.3240,5.0160,5.0160,0.0000,0.0000
107,default,250,0,0,0,0,-186.8003,-405.6913,-0.0003,0.0000,0.0320,0.0435,0.0000,0.0000,0.1500,0.0000,0.0000,0.5047,0.955879,-1.319382,2.0000,3.0000,3.0000,0.0000,0.0000
